iter	Accuracy	MultiClass
132	0.8745888746	0.5454259018
133	0.8751608752	0.5426793799
134	0.8767338767	0.5396951682
135	0.8767338767	0.5371186595
136	0.8781638782	0.5338571114
137	0.8805948806	0.5317697791
138	0.8811668812	0.5300001439
139	0.8817388817	0.5266782737
140	0.8818818819	0.5241539482
141	0.8818818819	0.5220620619
142	0.8837408837	0.5190856676
143	0.8848848849	0.5170082997
144	0.8845988846	0.5145734578
145	0.8851708852	0.5124044572
146	0.8855998856	0.5102603646
147	0.8873158873	0.5079301788
148	0.888030888	0.5054422581
149	0.888030888	0.503454402
150	0.8893178893	0.5013016402
151	0.889031889	0.4993765964
152	0.89003289	0.497108454
153	0.8908908909	0.495913204
154	0.8918918919	0.4938356542
155	0.8924638925	0.4924500489
156	0.8928928929	0.4902408493
157	0.8933218933	0.4885732967
158	0.8931788932	0.4872466315
159	0.8941798942	0.4853333295
160	0.8946088946	0.4834785011
161	0.8958958959	0.4818405888
162	0.8964678965	0.479623854
163	0.8967538968	0.4778690975
164	0.8964678965	0.4756322659
165	0.8968968969	0.4726928985
166	0.8986128986	0.4705249778
167	0.8993278993	0.4688248268
168	0.8996138996	0.467166824
169	0.8998998999	0.4661471862
170	0.901043901	0.4640581493
171	0.9011869012	0.461047048
172	0.9011869012	0.4598530201
173	0.9021879022	0.458511755
174	0.9031889032	0.4560160217
175	0.9041899042	0.4551181274
176	0.9047619048	0.45370936
177	0.905047905	0.4517198358
178	0.9054769055	0.4489619308
179	0.9057629058	0.4468534362
180	0.9061919062	0.4450359455
181	0.9079079079	0.4430232689
182	0.9093379093	0.4413912328
183	0.9101959102	0.4395532921
184	0.9117689118	0.4376218995
185	0.9117689118	0.4360947674
186	0.9121979122	0.4348425571
187	0.9126269126	0.4330838848
188	0.9133419133	0.4307054016
189	0.9133419133	0.4291906902
190	0.9141999142	0.4273709689
191	0.9150579151	0.4244557199
192	0.9156299156	0.4229802172
193	0.9167739168	0.4210958463
194	0.9182039182	0.4184063698
195	0.9186329186	0.4164555475
196	0.9189189189	0.4152547242
197	0.9194909195	0.4135722107
198	0.9187759188	0.4128372669
199	0.9196339196	0.4115754696
200	0.9197769198	0.4101711587
201	0.9206349206	0.4078369649
202	0.9202059202	0.4067521907
203	0.9203489203	0.4052824652
204	0.9210639211	0.4044381955
205	0.9214929215	0.4035521562
206	0.9214929215	0.4017933668
207	0.9220649221	0.4003969101
208	0.9222079222	0.3991746559
209	0.9219219219	0.397928807
210	0.9229229229	0.3963036379
211	0.9234949235	0.3948782387
212	0.9243529244	0.3938436337
213	0.9244959245	0.3929820709
214	0.9247819248	0.3911439995
215	0.9250679251	0.390065718
216	0.9254969255	0.3893584439
217	0.9259259259	0.3871192916
218	0.9260689261	0.3859701392
219	0.9277849278	0.3834956645
220	0.9277849278	0.3820974778
221	0.9286429286	0.3807391125
222	0.9282139282	0.3795780555
223	0.9286429286	0.3782835221
224	0.9286429286	0.3773166823
225	0.9287859288	0.3765696838
226	0.9290719291	0.3751708877
227	0.9300729301	0.3736762532
228	0.9306449306	0.3726783681
229	0.9307879308	0.3716270846
230	0.9325039325	0.3702090413
231	0.9325039325	0.3690622651
232	0.9330759331	0.3675117517
233	0.9323609324	0.3669355028
234	0.9327899328	0.3659107641
235	0.9339339339	0.3643136316
236	0.9337909338	0.3635638921
237	0.9340769341	0.3626765821
238	0.9345059345	0.3615727395
239	0.9346489346	0.3600838996
240	0.9349349349	0.3586204127
241	0.9357929358	0.3569068817
242	0.9357929358	0.3558597841
243	0.9363649364	0.3549264144
244	0.9365079365	0.3534977062
245	0.9369369369	0.352761269
246	0.9370799371	0.3518018304
247	0.9372229372	0.3510353024
248	0.9367939368	0.3502194645
249	0.9373659374	0.3488979687
250	0.9373659374	0.3475016153
251	0.9382239382	0.3462793311
252	0.9383669384	0.3455381741
253	0.9383669384	0.3450759193
254	0.9383669384	0.3440234369
255	0.9386529387	0.3423571207
256	0.9392249392	0.341319498
257	0.9392249392	0.3404866619
258	0.9393679394	0.3385801139
259	0.9400829401	0.3373803548
260	0.9412269412	0.3358960875
261	0.9422279422	0.3345230268
262	0.9423709424	0.3334659229
263	0.9427999428	0.3327124373
264	0.9439439439	0.3311015382
265	0.9443729444	0.3293788478
266	0.9450879451	0.3287680603
267	0.9463749464	0.3273344094
268	0.9468039468	0.3263113107
269	0.9470899471	0.3250236047
270	0.9486629487	0.3238988648
271	0.9485199485	0.3227510634
272	0.9492349492	0.3214440146
273	0.9489489489	0.3201869206
274	0.9495209495	0.3193392906
275	0.9498069498	0.3184632366
276	0.9498069498	0.317367401
277	0.9500929501	0.3165834517
278	0.9496639497	0.31602309
279	0.9502359502	0.3148290666
280	0.9513799514	0.3134792696
281	0.9513799514	0.3129407092
282	0.9515229515	0.3117684511
283	0.9523809524	0.3109995759
284	0.9530959531	0.3093756764
285	0.9536679537	0.3082639999
286	0.9538109538	0.3077485796
287	0.9545259545	0.3067755519
288	0.9545259545	0.3057525427
289	0.9546689547	0.3049553976
290	0.9546689547	0.3043090693
291	0.9545259545	0.3033261525
292	0.954954955	0.3025641147
293	0.9556699557	0.3018661997
294	0.9553839554	0.3010236925
295	0.9555269555	0.3001539791
296	0.955955956	0.2991837547
297	0.9555269555	0.2987367769
298	0.9568139568	0.2977559548
299	0.9573859574	0.2972060408
300	0.9570999571	0.2966656286
301	0.9568139568	0.2957724433
302	0.9573859574	0.2947791716
303	0.9578149578	0.2940997159
304	0.9585299585	0.2931387295
305	0.9592449592	0.2919155216
306	0.95995996	0.2908936227
307	0.9598169598	0.2894402055
308	0.9602459602	0.2889537712
309	0.95995996	0.2883892503
310	0.9602459602	0.2872858247
311	0.960960961	0.2866859423
312	0.9616759617	0.2857671547
313	0.961961962	0.2847196637
314	0.9623909624	0.2839313355
315	0.9628199628	0.2832737374
316	0.9626769627	0.2823394833
317	0.9633919634	0.2813712317
318	0.9631059631	0.2805007149
319	0.9633919634	0.2798484438
320	0.9636779637	0.2789770646
321	0.9638209638	0.2782478163
322	0.9643929644	0.2773619665
323	0.9643929644	0.2766790643
324	0.9645359645	0.276058253
325	0.9648219648	0.2755767813
326	0.9652509653	0.2752045389
327	0.9652509653	0.2746489926
328	0.9655369655	0.2737275477
329	0.965965966	0.2728795102
330	0.9661089661	0.2723156381
331	0.9665379665	0.2717477055
332	0.966966967	0.2713413869
333	0.966966967	0.27009683
334	0.9672529673	0.2692896166
335	0.9672529673	0.2684299919
336	0.9676819677	0.2675962644
337	0.9681109681	0.2671105395
338	0.9682539683	0.266554671
339	0.9685399685	0.2656105033
340	0.9688259688	0.265201915
341	0.968968969	0.2646263046
342	0.9688259688	0.2638349038
343	0.968968969	0.2632780859
344	0.9693979694	0.2625957599
345	0.9695409695	0.2619746184
346	0.9696839697	0.2616519495
347	0.96996997	0.260932401
348	0.9701129701	0.2599930475
349	0.9701129701	0.2592603362
350	0.9705419705	0.258696826
351	0.970970971	0.2578325195
352	0.9706849707	0.257251575
353	0.9701129701	0.2567159522
354	0.9702559703	0.2556905509
355	0.9706849707	0.2553638893
356	0.9711139711	0.2545596424
357	0.9718289718	0.2540346308
358	0.9718289718	0.2530801372
359	0.971971972	0.2521879104
360	0.9726869727	0.2517265772
361	0.9728299728	0.2507610515
362	0.9726869727	0.2499268244
363	0.9724009724	0.2495838559
364	0.9726869727	0.2489552073
365	0.9731159731	0.2483452677
366	0.9734019734	0.2476559511
367	0.9736879737	0.2465693434
368	0.9732589733	0.2458456337
369	0.9736879737	0.2454751352
370	0.9741169741	0.2450718408
371	0.9741169741	0.2444161671
372	0.973973974	0.2435956885
373	0.9742599743	0.2431766896
374	0.9738309738	0.2428508639
375	0.9742599743	0.2423676998
376	0.9741169741	0.2418428951
377	0.9741169741	0.241598919
378	0.9741169741	0.2411977782
379	0.9746889747	0.240647335
380	0.9751179751	0.2397082163
381	0.974974975	0.2392056384
382	0.9751179751	0.238995114
383	0.9754039754	0.2379415929
384	0.9754039754	0.2371114913
385	0.9756899757	0.2365536756
386	0.9755469755	0.2363807756
387	0.9761189761	0.2356980387
388	0.9758329758	0.235338837
389	0.9758329758	0.234957185
390	0.9762619763	0.2346530027
391	0.9761189761	0.2336022653
392	0.9762619763	0.2332147668
393	0.9764049764	0.2327980125
394	0.9764049764	0.2325005854
395	0.9766909767	0.2322039462
396	0.9766909767	0.2316613443
397	0.9766909767	0.2314383995
398	0.9768339768	0.2307434735
399	0.9774059774	0.2298695483
400	0.9774059774	0.2296328309
401	0.9775489775	0.2292347498
402	0.9774059774	0.2285760235
403	0.9776919777	0.227977239
404	0.9775489775	0.2275520939
405	0.9775489775	0.2267815837
406	0.9781209781	0.2261423981
407	0.9782639783	0.2257257449
408	0.9786929787	0.2251725316
409	0.9788359788	0.2248265515
410	0.9788359788	0.2244060706
411	0.978978979	0.224147429
412	0.978978979	0.2236979093
413	0.9788359788	0.2230891323
414	0.9794079794	0.2222090034
415	0.97997998	0.2217315276
416	0.9798369798	0.2212001289
417	0.9795509796	0.2207172441
418	0.9806949807	0.2200483671
419	0.9805519806	0.2193520579
420	0.9805519806	0.2188939921
421	0.9805519806	0.2185226839
422	0.9806949807	0.2180640562
423	0.9808379808	0.2174891099
424	0.9806949807	0.2169970051
425	0.9806949807	0.2166003044
426	0.9814099814	0.2156404574
427	0.9814099814	0.2150204981
428	0.980980981	0.2141286847
429	0.980980981	0.2135745174
430	0.9811239811	0.2131100482
431	0.9814099814	0.2127533252
432	0.9815529816	0.2121126727
433	0.9816959817	0.2117991166
434	0.9816959817	0.2115516546
435	0.9821249821	0.2110517685
436	0.9818389818	0.2107201322
437	0.9825539826	0.2103414812
438	0.9822679823	0.2099469848
439	0.9822679823	0.2091814605
440	0.9824109824	0.2088183546
441	0.9825539826	0.2082986882
442	0.9826969827	0.2079349146
443	0.982982983	0.2071526762
444	0.9831259831	0.2066077292
445	0.9831259831	0.2061925702
446	0.982982983	0.2059678418
447	0.9831259831	0.2053846031
448	0.9831259831	0.2049102402
449	0.982982983	0.2044783442
450	0.9834119834	0.2034188493
451	0.9832689833	0.2027964657
452	0.983983984	0.2024635496
453	0.983983984	0.2021515292
454	0.9838409838	0.2018520458
455	0.983983984	0.2013706821
456	0.983983984	0.2009090484
457	0.983983984	0.2001551278
458	0.9841269841	0.1997931522
459	0.9842699843	0.1994263343
460	0.9845559846	0.1988195837
461	0.9846989847	0.1983845681
462	0.9845559846	0.1980959089
463	0.9845559846	0.1978242919
464	0.9845559846	0.1976091731
465	0.9845559846	0.1973548984
466	0.9846989847	0.1970318883
467	0.9842699843	0.1967825794
468	0.9848419848	0.1962606647
469	0.9848419848	0.195981437
470	0.9848419848	0.1955453392
471	0.9848419848	0.1953123847
472	0.984984985	0.1947350202
473	0.9851279851	0.1945177999
474	0.9851279851	0.1943190163
475	0.9854139854	0.1936222267
476	0.9851279851	0.1930463114
477	0.9851279851	0.1927909838
478	0.9852709853	0.1924456496
479	0.9854139854	0.1918101894
480	0.9856999857	0.1910019981
481	0.9858429858	0.190437663
482	0.9858429858	0.1901572653
483	0.985985986	0.1899916606
484	0.985985986	0.1896048479
485	0.9862719863	0.1889135639
486	0.9861289861	0.1886392929
487	0.9861289861	0.1884430698
488	0.9861289861	0.1880010139
489	0.9862719863	0.1876912157
490	0.9864149864	0.1873560236
491	0.9865579866	0.1869643511
492	0.9867009867	0.186591328
493	0.9867009867	0.186253067
494	0.9868439868	0.1857536059
495	0.9865579866	0.1852727872
496	0.9867009867	0.1845707892
497	0.9868439868	0.1842789715
498	0.986986987	0.1838340131
499	0.9872729873	0.1834008021
500	0.9874159874	0.1831638798
501	0.9878449878	0.1827635965
502	0.9877019877	0.1825560947
503	0.9875589876	0.1818380582
504	0.9877019877	0.1814171894
505	0.9878449878	0.1809710167
506	0.9878449878	0.180682996
507	0.9878449878	0.1804498546
508	0.987987988	0.180105697
509	0.987987988	0.179784284
510	0.9878449878	0.1795639416
511	0.9877019877	0.1790827462
512	0.9877019877	0.1784243544
513	0.9877019877	0.1780505053
514	0.9878449878	0.1775309156
515	0.9878449878	0.1771890099
516	0.9878449878	0.1770503637
517	0.9884169884	0.1767259096
518	0.9884169884	0.1764946266
519	0.9885599886	0.1759058362
520	0.9887029887	0.1754649325
521	0.9887029887	0.1753053141
522	0.9884169884	0.1747342377
523	0.9885599886	0.1741814425
524	0.9885599886	0.1739013148
525	0.9887029887	0.1735057409
526	0.9885599886	0.1731126539
527	0.988988989	0.1727625237
528	0.9891319891	0.1725389946
529	0.9892749893	0.1722090486
530	0.9892749893	0.1719953832
531	0.9895609896	0.171791027
532	0.9894179894	0.1712984085
533	0.9894179894	0.1709912609
534	0.9894179894	0.1707302923
535	0.9894179894	0.170417608
536	0.9894179894	0.1700679953
537	0.9894179894	0.1698525501
538	0.9895609896	0.1697073972
539	0.9898469898	0.1692562682
540	0.98998999	0.1689851546
541	0.9898469898	0.1686598442
542	0.98998999	0.1683008842
543	0.98998999	0.1679069601
544	0.98998999	0.1676123657
545	0.9901329901	0.1673397059
546	0.98998999	0.166968686
547	0.9904189904	0.1666469655
548	0.9905619906	0.1662852587
549	0.9905619906	0.1659622979
550	0.9907049907	0.1657301854
551	0.9908479908	0.1652402324
552	0.9908479908	0.1651103598
553	0.9911339911	0.1648357138
554	0.990990991	0.1646924994
555	0.9908479908	0.1641064654
556	0.990990991	0.1639833112
557	0.9912769913	0.1635184194
558	0.990990991	0.1630718007
559	0.9911339911	0.1629089482
560	0.990990991	0.1626131779
561	0.9911339911	0.1623029594
562	0.9911339911	0.1620580218
563	0.9912769913	0.1617027145
564	0.9914199914	0.1613922015
565	0.9914199914	0.1610992681
566	0.9912769913	0.1606261739
567	0.9912769913	0.1604610327
568	0.9914199914	0.1601802875
569	0.9915629916	0.1599976688
570	0.9915629916	0.1598766237
571	0.9911339911	0.1596168996
572	0.9912769913	0.1592696053
573	0.9915629916	0.158920746
574	0.9918489918	0.1584954846
575	0.9917059917	0.1582197025
576	0.9921349921	0.1578685235
577	0.9921349921	0.1577456834
578	0.9924209924	0.1572549004
579	0.9922779923	0.1565814919
580	0.9924209924	0.1563658553
581	0.9927069927	0.1559605797
582	0.9927069927	0.1556896371
583	0.9927069927	0.1553703358
584	0.9927069927	0.1551581806
585	0.9925639926	0.1549289966
586	0.992992993	0.1545584134
587	0.992992993	0.1539729089
588	0.9928499928	0.1535346926
589	0.9928499928	0.1530602122
590	0.992992993	0.1527974195
591	0.992992993	0.1525921252
592	0.9928499928	0.1523321807
593	0.9927069927	0.1520220747
594	0.992992993	0.1516631329
595	0.992992993	0.1513224707
596	0.9928499928	0.1507973964
597	0.992992993	0.1503278534
598	0.9932789933	0.1501257261
599	0.9932789933	0.1499203521
600	0.9932789933	0.149404013
601	0.9934219934	0.1490962085
602	0.9935649936	0.1487506964
603	0.9932789933	0.1483883293
604	0.9932789933	0.1481298461
605	0.9934219934	0.1478121482
606	0.9934219934	0.147524442
607	0.9934219934	0.1472518263
608	0.9935649936	0.1469574296
609	0.9935649936	0.1467720704
610	0.9937079937	0.1462579927
611	0.9937079937	0.145941613
612	0.9937079937	0.145729159
613	0.9937079937	0.1452646885
614	0.9937079937	0.1450020366
615	0.9938509939	0.1445519571
616	0.9938509939	0.1443345135
617	0.9938509939	0.1439243651
618	0.9938509939	0.1436640483
619	0.9938509939	0.1431326789
620	0.9938509939	0.1429410769
621	0.9938509939	0.1426762605
622	0.9938509939	0.1423776911
623	0.9941369941	0.1421891725
624	0.9941369941	0.1418658679
625	0.9941369941	0.1416693115
626	0.9941369941	0.1413527725
627	0.9941369941	0.1410548388
628	0.9942799943	0.1406951955
629	0.9942799943	0.1403939272
630	0.9942799943	0.1402071714
631	0.9942799943	0.1400290161
632	0.9942799943	0.1398259859
633	0.9945659946	0.1395989861
634	0.9944229944	0.1393952337
635	0.9944229944	0.1391702148
636	0.9944229944	0.1390609905
637	0.9944229944	0.1388977046
638	0.9944229944	0.1386427361
639	0.9944229944	0.1385179366
640	0.9945659946	0.1383484973
641	0.9945659946	0.137993167
642	0.9947089947	0.1377931536
643	0.9947089947	0.1376492825
644	0.9947089947	0.1373913137
645	0.9947089947	0.1371302696
646	0.9948519949	0.1368609753
647	0.9947089947	0.1366738507
648	0.9947089947	0.1364240963
649	0.9947089947	0.1363520618
650	0.9948519949	0.1361312031
651	0.9948519949	0.1358058086
652	0.9951379951	0.1355976062
653	0.994994995	0.1353359149
654	0.9954239954	0.1351253042
655	0.9954239954	0.1347651086
656	0.9954239954	0.1344465601
657	0.9954239954	0.1343414188
658	0.9952809953	0.1341428519
659	0.9952809953	0.133972716
660	0.9954239954	0.133690882
661	0.9952809953	0.1333989677
662	0.9952809953	0.133171934
663	0.9952809953	0.1328485651
664	0.9954239954	0.1325067983
665	0.9954239954	0.1322566349
666	0.9954239954	0.1321242181
667	0.9952809953	0.1319646613
668	0.9952809953	0.1317997017
669	0.9954239954	0.1316272285
670	0.9955669956	0.1313853969
671	0.9955669956	0.1311589263
672	0.9957099957	0.1308162127
673	0.9955669956	0.1305712261
674	0.9955669956	0.1302843488
675	0.9955669956	0.130176882
676	0.9955669956	0.1299385253
677	0.9955669956	0.1297710631
678	0.9957099957	0.1295396882
679	0.9958529959	0.1294213723
680	0.9957099957	0.129228128
681	0.9957099957	0.1289879014
682	0.9958529959	0.1284285914
683	0.9957099957	0.1282921388
684	0.9957099957	0.1281281475
685	0.9958529959	0.1280514851
686	0.9957099957	0.1277407857
687	0.995995996	0.1273364791
688	0.9958529959	0.1270624064
689	0.9958529959	0.1268214882
690	0.9961389961	0.1266812154
691	0.9961389961	0.1265049389
692	0.9961389961	0.1263356801
693	0.9961389961	0.1262321164
694	0.9961389961	0.1259539466
695	0.9961389961	0.1258481223
696	0.9961389961	0.1257024904
697	0.9961389961	0.1255875403
698	0.9962819963	0.1253868276
699	0.9962819963	0.1251401009
700	0.9962819963	0.1250292591
701	0.9962819963	0.124866363
702	0.9964249964	0.1247021009
703	0.9962819963	0.1245635026
704	0.9965679966	0.1243179657
705	0.9964249964	0.1240998724
706	0.9962819963	0.1239863114
707	0.9962819963	0.1237957198
708	0.9964249964	0.1237076518
709	0.9962819963	0.1235595617
710	0.9965679966	0.123438327
711	0.9964249964	0.1232550093
712	0.9967109967	0.1230559994
713	0.9965679966	0.1228003206
714	0.9965679966	0.1226873615
715	0.9967109967	0.1224322015
716	0.9967109967	0.1221594764
717	0.9967109967	0.1218819462
718	0.9967109967	0.1216454351
719	0.9967109967	0.1215322261
720	0.9967109967	0.1213198985
721	0.9967109967	0.1211909006
722	0.9967109967	0.1208618074
723	0.9967109967	0.1205405771
724	0.9967109967	0.1203798451
725	0.9967109967	0.1202397498
726	0.9967109967	0.1200954835
727	0.9967109967	0.1199182903
728	0.9967109967	0.1197880284
729	0.9967109967	0.1195726945
730	0.9967109967	0.1194685148
731	0.9967109967	0.1193684014
732	0.9967109967	0.1192731045
733	0.9967109967	0.1191005593
734	0.9968539969	0.1188971363
735	0.9968539969	0.1186450794
736	0.9971399971	0.1184711767
737	0.9971399971	0.1182397317
738	0.9971399971	0.1180410667
739	0.9971399971	0.117966441
740	0.9971399971	0.1177287666
741	0.9971399971	0.1175549986
742	0.9971399971	0.117254273
743	0.9971399971	0.1171402817
744	0.9971399971	0.116972902
745	0.9971399971	0.1166834231
746	0.9971399971	0.1165163586
747	0.9971399971	0.1164013141
748	0.9971399971	0.1161921224
749	0.9971399971	0.115801599
750	0.9971399971	0.1155339404
751	0.9971399971	0.1153677943
752	0.9971399971	0.1151913719
753	0.9971399971	0.1150230616
754	0.9971399971	0.1149174338
755	0.9971399971	0.1144856679
756	0.9971399971	0.1143460678
757	0.9971399971	0.1139276309
758	0.9971399971	0.1137481406
759	0.9971399971	0.1136038213
760	0.9971399971	0.1134799962
761	0.9971399971	0.113286766
762	0.9971399971	0.1131262783
763	0.9971399971	0.1129829146
764	0.9971399971	0.1127793622
765	0.9971399971	0.1126140554
766	0.9971399971	0.1122916607
767	0.9971399971	0.1122097928
768	0.9971399971	0.1121137401
769	0.9971399971	0.1119965913
770	0.9971399971	0.1117875572
771	0.9972829973	0.1117227159
772	0.9972829973	0.1115917994
773	0.9972829973	0.111411623
774	0.9972829973	0.1110995551
775	0.9972829973	0.1109617427
776	0.9972829973	0.1108100577
777	0.9972829973	0.1106019542
778	0.9972829973	0.110396022
779	0.9974259974	0.1102520958
780	0.9974259974	0.1101343307
781	0.9974259974	0.1099586999
782	0.9974259974	0.1098900339
783	0.9974259974	0.1095234807
784	0.9974259974	0.1092846411
785	0.9975689976	0.1090255703
786	0.9975689976	0.1088217045
787	0.9975689976	0.1084796886
788	0.9975689976	0.1082487142
789	0.9975689976	0.1081270577
790	0.9975689976	0.1080404797
791	0.9975689976	0.1079519383
792	0.9975689976	0.107780189
793	0.9975689976	0.1076617991
794	0.9975689976	0.1074843039
795	0.9975689976	0.1072651978
796	0.9977119977	0.1070609903
797	0.9977119977	0.1069501539
798	0.9977119977	0.1068363475
799	0.9977119977	0.1067044264
800	0.9975689976	0.1065775289
801	0.9977119977	0.1064666896
802	0.9977119977	0.1062780377
803	0.9977119977	0.1060106358
804	0.9977119977	0.1058862844
805	0.997997998	0.105718198
806	0.9975689976	0.105578777
807	0.9977119977	0.1054436715
808	0.9977119977	0.1052278691
809	0.9977119977	0.105025319
810	0.9977119977	0.104864401
811	0.9977119977	0.1046151991
812	0.9978549979	0.1043533624
813	0.9977119977	0.1041411919
814	0.9977119977	0.1040022935
815	0.9978549979	0.103861856
816	0.9978549979	0.1037208438
817	0.9978549979	0.1035847668
818	0.997997998	0.1034090514
819	0.9978549979	0.103267826
820	0.9981409981	0.1030684684
821	0.997997998	0.1030244484
822	0.9981409981	0.1029601775
823	0.9981409981	0.1027915958
824	0.9981409981	0.1026646586
825	0.9981409981	0.1025021686
826	0.9981409981	0.1024009391
827	0.9982839983	0.1021846927
828	0.9982839983	0.1021096713
829	0.9982839983	0.1020274968
830	0.9982839983	0.1019460766
831	0.9981409981	0.1018136395
832	0.9982839983	0.10165505
833	0.9982839983	0.1015515266
834	0.9982839983	0.1013859962
835	0.9982839983	0.1012728055
836	0.9982839983	0.1011105034
837	0.9982839983	0.1008989163
838	0.9982839983	0.1008436072
839	0.9982839983	0.1007418778
840	0.9982839983	0.1005676521
841	0.9982839983	0.1003488679
842	0.9982839983	0.1002431604
843	0.9982839983	0.09999354362
844	0.9984269984	0.0996935028
845	0.9984269984	0.09955847101
846	0.9984269984	0.099389365
847	0.9984269984	0.09930700687
848	0.9984269984	0.09920248795
849	0.9985699986	0.09899189449
850	0.9985699986	0.09888048108
851	0.9985699986	0.09875889015
852	0.9984269984	0.09861511619
853	0.9984269984	0.09845607332
854	0.9985699986	0.09818539896
855	0.9985699986	0.09813246087
856	0.9985699986	0.09795001613
857	0.9985699986	0.09783050694
858	0.9985699986	0.09775768207
859	0.9984269984	0.09764449025
860	0.9984269984	0.09753599676
861	0.9987129987	0.09740682819
862	0.9985699986	0.09726099141
863	0.9987129987	0.09716765902
864	0.9985699986	0.09704514868
865	0.9988559989	0.09689146934
866	0.9988559989	0.0967317555
867	0.9987129987	0.09656111418
868	0.9987129987	0.09643525675
869	0.9987129987	0.09639656659
870	0.9985699986	0.0962705496
871	0.9985699986	0.0960994173
872	0.9985699986	0.09594328616
873	0.9985699986	0.0958352167
874	0.9987129987	0.09568805561
875	0.9985699986	0.09557706355
876	0.9987129987	0.09539177987
877	0.9987129987	0.09529062925
878	0.9987129987	0.0951094184
879	0.9988559989	0.09502470757
880	0.9988559989	0.0949053234
881	0.9988559989	0.0947074249
882	0.9988559989	0.09456240113
883	0.9988559989	0.09448719386
884	0.9988559989	0.09434824676
